id,code,name,postalCode,level,parentId,hasHomeDelivery,hasPickupPoint,Commune,,,,,,,,,
478c4de4-a1dc-4bc4-b6b5-a651e9514a23,82,Sebgag,82000,commune,00b5ef4b-ae2e-4b7f-bd26-70c1a376b69b,TRUE,TRUE,Fesdis,,,,,,,,,3
2403c760-d0fa-454f-abed-b7b0511dfeba,83,Sidi Bouzid,83000,commune,00b5ef4b-ae2e-4b7f-bd26-70c1a376b69b,TRUE,TRUE,Foum Toub,,,,,,,,,1
55d77aa1-909b-4dbd-99fd-d69316b2651a,84,Sidi Makhlouf,84000,commune,00b5ef4b-ae2e-4b7f-bd26-70c1a376b69b,TRUE,TRUE,Ghassira,,,,,,,,,1
832fb1aa-7241-489e-9909-ac97942e339f,85,Tadjemout,85000,commune,00b5ef4b-ae2e-4b7f-bd26-70c1a376b69b,TRUE,TRUE,Gosbat,,,,,,,,,1
deb80a97-1251-494e-9ac1-e197152d62a6,86,Tadjrouna,86000,commune,00b5ef4b-ae2e-4b7f-bd26-70c1a376b69b,TRUE,TRUE,Guigba,,,,,,,,,2
69f4464d-a157-44d6-8ba8-365af224a844,87,Taouiala,87000,commune,00b5ef4b-ae2e-4b7f-bd26-70c1a376b69b,TRUE,TRUE,Hidoussa,,,,,,,,,1
f7dc5a01-2ca3-4443-bcda-6d570fe85913,88,Ain Babouche,88000,commune,37c70742-df6b-4019-981a-a16a29a14748,TRUE,TRUE,Ichemoul,,,,,,,,,3
6e743974-1d6d-44d2-9d65-475debc85350,89,Ain Beida,89000,commune,37c70742-df6b-4019-981a-a16a29a14748,TRUE,TRUE,Inoughissen,,,,,,,,,2
fc9c30a5-8324-4db1-8562-f0ed366a1277,90,Ain Diss,90000,commune,37c70742-df6b-4019-981a-a16a29a14748,TRUE,TRUE,Kimmel,,,,,,,,,2
5e20a3f2-23d7-4c6b-add3-06d1c068b1e2,91,Ain Fekroun,91000,commune,37c70742-df6b-4019-981a-a16a29a14748,TRUE,TRUE,Ksar Bellezma,,,,,,,,,2
7d6c04e3-712b-4271-b6a9-9e26d5128c9a,92,Ain Kercha,92000,commune,37c70742-df6b-4019-981a-a16a29a14748,TRUE,TRUE,Larbaa,,,,,,,,,1
eb3ee5ff-1bdb-4e5f-b54b-4fe0a83b6e9a,93,Ain M'lila,93000,commune,37c70742-df6b-4019-981a-a16a29a14748,TRUE,TRUE,Lazrou,,,,,,,,,3
7185bafa-8b32-4c56-a3da-9ec78177654e,94,Ain Zitoun,94000,commune,37c70742-df6b-4019-981a-a16a29a14748,TRUE,TRUE,Lemcene,,,,,,,,,2
f2e399a5-ca3d-4d3a-bf5c-dd4bc9b1da24,95,Behir Chergui,95000,commune,37c70742-df6b-4019-981a-a16a29a14748,TRUE,TRUE,M Doukal,,,,,,,,,1
d21d54fa-942e-4e5b-905a-cda21658a5fe,96,Berriche,96000,commune,37c70742-df6b-4019-981a-a16a29a14748,TRUE,TRUE,Maafa,,,,,,,,,2
368adda5-2a58-4582-942a-d2db72a21820,97,Bir Chouhada,97000,commune,37c70742-df6b-4019-981a-a16a29a14748,TRUE,TRUE,Menaa,,,,,,,,,2
81947893-494a-4fda-8ff7-7ba1b30e5eb0,98,Dhalaa,98000,commune,37c70742-df6b-4019-981a-a16a29a14748,TRUE,TRUE,Merouana,,,,,,,,,2
08de6d4e-18da-4874-95af-cbfedec14009,99,El Amiria,99000,commune,37c70742-df6b-4019-981a-a16a29a14748,TRUE,TRUE,N Gaous,,,,,,,,,2
e0353951-f88a-44ac-9e72-4e35d6a15dbe,100,El Belala,100000,commune,37c70742-df6b-4019-981a-a16a29a14748,TRUE,TRUE,Oued Chaaba,,,,,,,,,1
bb5cf597-ca98-4939-ac83-2f0900733f46,101,El Djazia,101000,commune,37c70742-df6b-4019-981a-a16a29a14748,TRUE,TRUE,Oued El Ma,,,,,,,,,2
0a3e00ec-2cb9-4493-a3a0-c5193115c406,102,El Fedjoudj Boughrara Sa,102000,commune,37c70742-df6b-4019-981a-a16a29a14748,TRUE,TRUE,Oued Taga,,,,,,,,,1
f63f567c-52fa-436c-835e-4f57cf28f3f7,103,El Harmilia,103000,commune,37c70742-df6b-4019-981a-a16a29a14748,TRUE,TRUE,Ouled Ammar,,,,,,,,,1
fc6385b7-7681-44be-aeae-8d387d2edb06,104,Fkirina,104000,commune,37c70742-df6b-4019-981a-a16a29a14748,TRUE,TRUE,Ouled Aouf,,,,,,,,,1
25472508-3030-42ab-a3d0-ddd340650411,105,Hanchir Toumghani,105000,commune,37c70742-df6b-4019-981a-a16a29a14748,TRUE,TRUE,Ouled Fadel,,,,,,,,,1
